regime,seed,split,task,condition,limb,retained_strength,loss,excess_loss
capacity,9104,OOS,sine,L4,4,0.5,0.07886005545876267,0.06506877092995166
capacity,9104,OOS,sine,L4,4,0.0,0.5889944754216163,0.5752031908928052
capacity,9104,OOS,chirp,intact,0,1.0,0.022372101105378767,0.0
capacity,9104,OOS,chirp,L1,1,0.5,0.027325853394551555,0.004953752289172789
capacity,9104,OOS,chirp,L1,1,0.0,0.0743785582410421,0.052006457135663334
capacity,9104,OOS,chirp,L2,2,0.5,0.024085092636359343,0.001712991530980576
capacity,9104,OOS,chirp,L2,2,0.0,0.027496895313880353,0.005124794208501586
capacity,9104,OOS,chirp,L3,3,0.5,0.08570199699286707,0.0633298958874883
capacity,9104,OOS,chirp,L3,3,0.0,0.32805437805387105,0.30568227694849226
capacity,9104,OOS,chirp,L4,4,0.5,0.09043539932640683,0.06806329822102807
capacity,9104,OOS,chirp,L4,4,0.0,0.6046530602255973,0.5822809591202185
capacity,9104,OOS,left,intact,0,1.0,0.0439839415965798,0.0
capacity,9104,OOS,left,L1,1,0.5,0.04530994803453031,0.0013260064379505138
capacity,9104,OOS,left,L1,1,0.0,0.07550003486198324,0.031516093265403444
capacity,9104,OOS,left,L2,2,0.5,0.0428861816757377,-0.0010977599208421007
capacity,9104,OOS,left,L2,2,0.0,0.04288287013724257,-0.00110107145933723
capacity,9104,OOS,left,L3,3,0.5,0.14190530387615338,0.09792136227957358
capacity,9104,OOS,left,L3,3,0.0,0.5962474888936287,0.5522635472970489
capacity,9104,OOS,left,L4,4,0.5,0.20243919345219863,0.15845525185561882
capacity,9104,OOS,left,L4,4,0.0,1.1122618410802896,1.0682778994837099
capacity,9104,OOS,right,intact,0,1.0,0.0316116312987295,0.0
capacity,9104,OOS,right,L1,1,0.5,0.04768167971681985,0.01607004841809035
capacity,9104,OOS,right,L1,1,0.0,0.12941810226958816,0.09780647097085866
capacity,9104,OOS,right,L2,2,0.5,0.029727241886471023,-0.0018843894122584776
capacity,9104,OOS,right,L2,2,0.0,0.029026668106906222,-0.0025849631918232786
capacity,9104,OOS,right,L3,3,0.5,0.09118460303381591,0.05957297173508641
capacity,9104,OOS,right,L3,3,0.0,0.23160457240027887,0.19999294110154936
capacity,9104,OOS,right,L4,4,0.5,0.039454454081292306,0.007842822782562806
capacity,9104,OOS,right,L4,4,0.0,0.26345888297310627,0.23184725167437675
capacity,9105,ID,straight,intact,0,1.0,0.001093885913849646,0.0
capacity,9105,ID,straight,L1,1,0.5,0.004568878600039443,0.0034749926861897965
capacity,9105,ID,straight,L1,1,0.0,0.029284520766262676,0.02819063485241303
capacity,9105,ID,straight,L2,2,0.5,0.005744829392980134,0.004650943479130487
capacity,9105,ID,straight,L2,2,0.0,0.04427845735898435,0.043184571445134705
capacity,9105,ID,straight,L3,3,0.5,0.017723597505009774,0.01662971159116013
capacity,9105,ID,straight,L3,3,0.0,0.17525964216343548,0.17416575624958583
capacity,9105,ID,straight,L4,4,0.5,0.0176543276443359,0.016560441730486257
capacity,9105,ID,straight,L4,4,0.0,0.14476163287481125,0.1436677469609616
capacity,9105,ID,left,intact,0,1.0,0.019849154835695763,0.0
capacity,9105,ID,left,L1,1,0.5,0.017487022012756037,-0.002362132822939726
capacity,9105,ID,left,L1,1,0.0,0.02567279527178151,0.005823640436085745
capacity,9105,ID,left,L2,2,0.5,0.029772284851961463,0.0099231300162657
capacity,9105,ID,left,L2,2,0.0,0.07940260910250543,0.05955345426680967
capacity,9105,ID,left,L3,3,0.5,0.025882431459934435,0.006033276624238672
capacity,9105,ID,left,L3,3,0.0,0.19633602549812837,0.1764868706624326
capacity,9105,ID,left,L4,4,0.5,0.0530503659094471,0.03320121107375134
