regime,seed,task,cc_gain,cc_mode,limb_condition,always_late_path_error,disrupted_late_path_error,retention_ratio
capacity,9101,straight,0.025,noisy,L4 slip,0.9651206821617603,0.9594180692879736,1.0059438247582921
capacity,9101,straight,0.025,stuck,intact,0.5250708118223477,0.5312634943998491,0.9883434818262884
capacity,9101,straight,0.025,stuck,L4 failure,2.134684591867773,2.1724955868170555,0.9825955941274525
capacity,9101,straight,0.025,stuck,L4 slip,0.9651206821617603,0.9807461454990098,0.9840677800173263
capacity,9101,straight,0.05,dropout,intact,0.44684972406260953,0.4979080199364768,0.8974543613891149
capacity,9101,straight,0.05,dropout,L4 failure,1.98480738300721,2.1501181138050938,0.9231155117774758
capacity,9101,straight,0.05,dropout,L4 slip,0.8589451282871472,0.9479742862471665,0.9060848387433933
capacity,9101,straight,0.05,intermittent,intact,0.44684972406260953,0.5548278730372311,0.805384418804468
capacity,9101,straight,0.05,intermittent,L4 failure,1.98480738300721,2.1894667069304967,0.9065254916754559
capacity,9101,straight,0.05,intermittent,L4 slip,0.8589451282871472,1.0056035965749341,0.8541587671451228
capacity,9101,straight,0.05,delayed,intact,0.44684972406260953,0.4579249815682376,0.9758142535318797
capacity,9101,straight,0.05,delayed,L4 failure,1.98480738300721,2.014902168970038,0.9850638971825556
capacity,9101,straight,0.05,delayed,L4 slip,0.8589451282871472,0.8764653018300239,0.9800104196865577
capacity,9101,straight,0.05,noisy,intact,0.44684972406260953,0.43458573609406353,1.028219950518329
capacity,9101,straight,0.05,noisy,L4 failure,1.98480738300721,1.9748354787864977,1.0050494860598918
capacity,9101,straight,0.05,noisy,L4 slip,0.8589451282871472,0.8489470351154429,1.0117770517572333
capacity,9101,straight,0.05,stuck,intact,0.44684972406260953,0.45550371262226347,0.9810012776628443
capacity,9101,straight,0.05,stuck,L4 failure,1.98480738300721,2.057401231109524,0.9647157554857857
capacity,9101,straight,0.05,stuck,L4 slip,0.8589451282871472,0.8847254774785845,0.9708606230433086
capacity,9101,straight,0.1,dropout,intact,0.3299987560722152,0.4002679928349517,0.8244445271153329
capacity,9101,straight,0.1,dropout,L4 failure,1.727705307494967,2.0242825825557307,0.853490180858878
capacity,9101,straight,0.1,dropout,L4 slip,0.6913500252368308,0.8304011120685676,0.8325494934786947
